Outcode,Incode,LDZ,Exit Zone,LPG Indicator
BA1,2HR,SW,SW2,
BA1,2HX,SW,SW2,
BA1,2HY,SW,SW2,
BA1,2JB,SW,SW2,
BA1,2JD,SW,SW2,
BA1,2JG,SW,SW2,
BA1,2JL,SW,SW2,
BA1,2JN,SW,SW2,
BA1,2JP,SW,SW2,
BA1,2JQ,SW,SW2,
BA1,2JR,SW,SW2,
BA1,2JS,SW,SW2,
BA1,2JT,SW,SW2,
BA1,2JU,SW,SW2,
BA1,2JW,SW,SW2,
BA1,2JY,SW,SW2,
BA1,2JZ,SW,SW2,
BA1,2LB,SW,SW2,
BA1,2LJ,SW,SW2,
BA1,2LN,SW,SW2,
BA1,2LP,SW,SW2,
BA1,2LR,SW,SW2,
BA1,2LS,SW,SW2,
BA1,2LT,SW,SW2,
BA1,2LU,SW,SW2,
BA1,2LW,SW,SW2,
BA1,2LX,SW,SW2,
BA1,2LY,SW,SW2,
BA1,2LZ,SW,SW2,
BA1,2NA,SW,SW2,
BA1,2NB,SW,SW2,
BA1,2ND,SW,SW2,
BA1,2NE,SW,SW2,
BA1,2NF,SW,SW2,
BA1,2NH,SW,SW2,
BA1,2NJ,SW,SW2,
BA1,2NN,SW,SW2,
BA1,2NP,SW,SW2,
BA1,2NQ,SW,SW2,
BA1,2NR,SW,SW2,
BA1,2NT,SW,SW2,
BA1,2PB,SW,SW2,
BA1,2PD,SW,SW2,
BA1,2PG,SW,SW2,
BA1,2PH,SW,SW2,
BA1,2PP,SW,SW2,
BA1,2PR,SW,SW2,
BA1,2PS,SW,SW2,
BA1,2PT,SW,SW2,
BA1,2PU,SW,SW2,
BA1,2PW,SW,SW2,
BA1,2PX,SW,SW2,
BA1,2PZ,SW,SW2,
BA1,2QA,SW,SW2,
BA1,2QB,SW,SW2,
BA1,2QD,SW,SW2,
BA1,2QE,SW,SW2,
BA1,2QF,SW,SW2,
BA1,2QH,SW,SW2,
BA1,2QJ,SW,SW2,
BA1,2QL,SW,SW2,
BA1,2QN,SW,SW2,
BA1,2QP,SW,SW2,
BA1,2QQ,SW,SW2,
BA1,2QR,SW,SW2,
BA1,2QS,SW,SW2,
BA1,2QU,SW,SW2,
BA1,2QW,SW,SW2,
BA1,2QX,SW,SW2,
BA1,2QZ,SW,SW2,
BA1,2RB,SW,SW2,
BA1,2RD,SW,SW2,
BA1,2RE,SW,SW2,
BA1,2RF,SW,SW2,
BA1,2RH,SW,SW2,
BA1,2RJ,SW,SW2,
BA1,2RL,SW,SW2,
BA1,2RP,SW,SW2,
BA1,2RQ,SW,SW2,
BA1,2RR,SW,SW2,
BA1,2RS,SW,SW2,
BA1,2RT,SW,SW2,
BA1,2RU,SW,SW2,
BA1,2RX,SW,SW2,
BA1,2RY,SW,SW2,
BA1,2RZ,SW,SW2,
BA1,2SA,SW,SW2,
BA1,2SB,SW,SW2,
BA1,2SE,SW,SW2,
BA1,2SF,SW,SW2,
BA1,2SG,SW,SW2,
BA1,2SH,SW,SW2,
BA1,2SJ,SW,SW2,
BA1,2SL,SW,SW2,
BA1,2SN,SW,SW2,
BA1,2SP,SW,SW2,
